Number,State,Value,Param alpha,Param beta,Param dropout,Param gamma,Param local_lamda,Param lr,Param optimizer
48,COMPLETE,0.9261811992741902,0.7050957743636317,0.5976116122216193,0.30000000000000004,0.8496223192264603,40,2.1169032813794166e-05,Adam
49,COMPLETE,0.9486946675481411,0.6542872789981138,0.3596772716214686,0.5,0.5249534247594647,48,0.004378814227196491,Adam
50,COMPLETE,0.9535720816395425,0.600272825906716,0.7296650280140959,0.1,1.6345868346639918,42,0.006608317088808619,Adam
51,COMPLETE,0.954656576596852,0.6004957560141068,0.7047473809301565,0.1,1.6542906534702428,42,0.0065555272116391596,Adam
52,COMPLETE,0.9503544652778754,0.5055858265792557,0.6789188344161626,0.1,1.3273702265340215,39,0.00843647577906175,Adam
53,COMPLETE,0.9524538280843403,0.36862275165115355,0.8063119620511894,0.2,1.0636954194007522,42,0.0056544290190697405,Adam
54,COMPLETE,0.9472894659108493,0.5523302690769645,0.8460847461974237,0.1,1.6657613124073818,48,0.0026231260884097144,Adam
55,COMPLETE,0.9584002644423504,0.4351909678483636,0.6242704820588412,0.4,0.6173743733371884,23,0.004789795423353209,Adam
56,COMPLETE,0.9622628106845962,0.3054076265808543,0.6282393233368836,0.2,0.6310005879623032,25,0.004192250703759261,Adam
57,COMPLETE,0.9477459102865261,0.20481469192058394,0.6266134442352127,0.2,0.573233701382927,23,0.003969863178716615,Adam
58,COMPLETE,0.9416018454700184,0.28640496655610675,0.7509369222323888,0.2,0.018210476418777932,19,0.0017063935974547776,Adam
59,COMPLETE,0.9517885023842011,0.26066224848047587,0.5877405882975755,0.2,0.4105467222945974,27,0.0026546202638742717,Adam
60,COMPLETE,0.9485933917544624,0.43820577280170603,0.5399752687717034,0.30000000000000004,0.8295204130699189,25,0.0009305748843610511,Adam
61,COMPLETE,0.9500042198247367,0.20013305414870977,0.6648899734585342,0.1,0.6553828265242457,23,0.004614649961699279,Adam
62,COMPLETE,0.9519608118942793,0.11333885577183661,0.7074200020642033,0.2,0.9524474932967536,29,0.003048885803523978,Adam
63,COMPLETE,0.9544716076125638,0.6632203489087657,0.6135433744612372,0.30000000000000004,2.705051733021819,20,0.007867923203577631,Adam
64,COMPLETE,0.9537809629640048,0.41390978789390565,0.8980725869999223,0.2,0.236945849628738,16,0.005223128287076842,Adam
65,COMPLETE,0.9427658137932005,0.8432138326774585,0.6352849752297571,0.2,1.0967983824014405,26,0.000291597374335319,Adam
66,COMPLETE,0.9522175178990899,0.7409481183237593,0.49999103900816594,0.5,0.7300856803397451,22,0.0021250911966326207,Adam
67,COMPLETE,0.9507862940092555,0.6880976882854966,0.746952542858897,0.4,1.4585326931896778,31,0.004001063113433067,Adam
68,COMPLETE,0.9383349978197573,0.9258657376486821,0.8117871437385351,0.30000000000000004,4.317533599937931,45,0.005542276034321525,Adam
69,COMPLETE,0.9261544737175249,0.6007342518087594,0.0031981991872106347,0.2,2.9168274344341123,26,4.9133556452010946e-05,Adam
70,COMPLETE,0.9506596992671572,0.385131225484416,0.6919498643439551,0.1,0.47302669914802087,33,0.0015820281469840674,Adam
71,COMPLETE,0.9451282123415807,0.479640306188286,0.43769240205714005,0.4,1.1437349581229175,43,0.007201558447654659,Adam
72,COMPLETE,0.9416960882224692,0.5183575459005546,0.38258070817618944,0.4,1.3583284592999099,40,0.00834514127098126,Adam
73,COMPLETE,0.9443468414611846,0.6370164682481797,0.5609250034516224,0.4,0.9721338346808955,24,0.0031992669329809157,Adam
74,COMPLETE,0.9525199386718806,0.5820229561940993,0.2089782880712574,0.4,0.15754776625717137,37,0.009981454909618175,Adam
75,COMPLETE,0.9658236394581745,0.3532501906534299,0.04522824488730445,0.30000000000000004,0.8252656576052585,28,0.005710326183485141,Adam
76,COMPLETE,0.9516147862658771,0.3576155012110576,0.09379031017135087,0.30000000000000004,0.6325729483245435,28,0.0045772331043775726,Adam
77,COMPLETE,0.9570457007018975,0.32093492850930383,0.026775638264935304,0.30000000000000004,0.803763579467665,29,0.005788771121895493,Adam
78,COMPLETE,0.9552410223228729,0.3183414390257673,0.05698762784376388,0.30000000000000004,0.7902543783035698,30,0.0056014759970298336,Adam
79,COMPLETE,0.9496244355984416,0.271275881278614,0.03389574966211374,0.30000000000000004,0.33020979697238595,28,0.002863676687991287,Adam
80,COMPLETE,0.948457654058768,0.14777346264287866,0.0362682056521636,0.30000000000000004,0.5531877009636,32,0.0038336322193646645,Adam
81,COMPLETE,0.9539581956029427,0.3461201412127213,0.07473106584830261,0.30000000000000004,0.8031234241473535,29,0.00564696644820964,Adam
82,COMPLETE,0.9622283487825806,0.3182861214856391,0.1027370348652699,0.30000000000000004,0.7421643522577379,30,0.004390877793148247,Adam
83,COMPLETE,0.9555546959616278,0.30371031121135666,0.112177990055866,0.30000000000000004,0.3667172617224557,25,0.0041592002136159835,Adam
84,COMPLETE,0.9283656618795099,0.40119907060221155,0.1264402391307696,0.30000000000000004,0.16550618216384422,30,1.031912612108356e-05,Adam
85,COMPLETE,0.9513841025136089,0.23285890726004876,0.027403912792671334,0.30000000000000004,0.9067493027165029,27,0.0021629145277496536,Adam
86,COMPLETE,0.9494422798306444,0.43578468305487483,0.19081173215648806,0.30000000000000004,0.45044533543736065,32,0.003528666473388322,Adam
87,COMPLETE,0.9489091753055855,0.32656013407987206,0.13764529561593908,0.30000000000000004,0.647144823671157,34,0.00470063984933443,Adam
88,COMPLETE,0.9573797701602127,0.3697351759827957,0.07117850890998202,0.2,1.0524188834093318,23,0.006032180126132598,Adam
89,COMPLETE,0.954525762030017,0.377796683335605,0.15984768234125257,0.2,1.0138307006287635,22,0.008174705894350905,Adam
90,COMPLETE,0.9498368334435177,0.33474559873317694,0.06307101356269358,0.30000000000000004,0.7139304317813712,24,0.0012664833990624277,Adam
91,COMPLETE,0.9621840406228462,0.39990501699371767,0.10338603217624771,0.2,1.1411354350682619,26,0.006363005552652891,Adam
92,COMPLETE,0.9556397957604827,0.40207394800948537,0.0976846448830446,0.2,1.1785588100366111,26,0.00599134817254135,Adam
93,COMPLETE,0.9543710351230079,0.3633902797207576,0.25082960434866264,0.2,1.0735291872659924,25,0.007378376257201215,Adam
94,COMPLETE,0.9600804579916448,0.3026897185158029,0.01631406678300726,0.2,1.3041688703197614,27,0.006230118166242491,Adam
95,COMPLETE,0.9539518658658377,0.2990642555001793,0.05459285775919565,0.2,1.5412706934202818,27,0.004885373440001183,Adam
96,COMPLETE,0.9551524060034039,0.24686111189270804,0.14991451750059204,0.2,1.3013010029854668,23,0.008669093211149365,Adam
97,COMPLETE,0.943765208951655,0.42286884122633933,0.08554582476370146,0.2,0.5787325357381843,20,0.003445261352624373,Adam
98,COMPLETE,0.9580211835201777,0.46224464229336,0.009375785594283523,0.2,1.8361553160920485,28,0.002946884714122978,Adam
99,COMPLETE,0.9651702699281223,0.45403989958151536,0.00719237958700001,0.2,1.9742239235901493,28,0.00290743699363262,Adam
